GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Portal utilities library,life.qbic.portal.utils,PortalUtils,274,75,16,8,69,6,17,6,9,2
Portal utilities library,life.qbic.portal.utils,PropertiesBasedConfigurationManager,159,349,0,12,58,68,51,11,51,5
Portal utilities library,life.qbic.portal.utils,ConfigurationManagerFactory,10,46,1,5,3,15,2,4,1,2
Portal utilities library,life.qbic.portal.components,StandardTextField,21,0,0,0,9,0,3,0,3,0
Portal utilities library,life.qbic.portal.components,AOpenbisInfoComponent,50,0,0,0,18,0,8,0,8,0
Portal utilities library,life.qbic.portal.components,CustomVisibilityComponent,130,0,12,0,38,0,19,0,13,0
Portal utilities library,life.qbic.portal.components,OpenbisInfoTextField,57,0,0,0,15,0,6,0,6,0
Portal utilities library,life.qbic.portal.components,Uploader,99,0,0,0,24,0,9,0,9,0
Portal utilities library,life.qbic.portal.utils.user,UserRelated,20,0,0,0,10,0,2,0,2,0
Portal utilities library,life.qbic.portal.utils.user,LiferayUserDummy,328,0,0,0,189,0,188,0,188,0
Portal utilities library,life.qbic.portal.portlet,QBiCPortletUI,0,125,0,4,0,32,0,7,0,5
Portal utilities library,life.qbic.portal,Styles.NotificationType,34,0,0,0,2,0,1,0,1,0
Portal utilities library,life.qbic.portal,Styles,135,0,5,0,42,0,9,0,6,0
Portal utilities library,life.qbic.portal,Styles.new PopupView.Content() {...},41,0,0,0,8,0,3,0,3,0
Portal utilities library,life.qbic.portal,Styles.new VisibilityChangeListener() {...},11,0,0,0,3,0,2,0,2,0
Portal utilities library,life.qbic.portal,Styles.new PopupView.Content() {...},24,0,0,0,5,0,3,0,3,0
Portal utilities library,life.qbic.portal.utils.sessions,VaadinSessions,21,0,0,0,7,0,5,0,5,0
